,0
0,14.829487
1,0.51491636
2,5.1116347
3,0.7251311
4,18.432392
5,23.487078
6,1.6355698
7,0.9156639
8,4.849252
9,0.9239933
10,0.46986476
11,0.99041104
12,4.9160404
13,1.1556321
14,22.868303
15,3.6591883
16,10.037295
17,1.0822123
18,3.5349996
19,5.0550985
20,0.6150675
21,4.4735794
22,10.698837
23,8.673057
24,14.445124
25,1.1054668
26,2.254049
27,1.0994567
28,0.10490843
29,0.22507587
30,2.3971782
31,5.692641
32,13.566559
33,4.5452456
34,14.341308
35,14.047514
36,0.24927238
37,0.26643208
38,2.260285
39,6.9923673
40,1.7698044
41,3.0908096
42,1.7624536
43,12.553817
44,1.0716013
45,2.1462495
46,4.630834
47,1.0713654
48,1.8075379
49,1.6605484
50,30.245796
51,14.283297
52,3.2480805
53,6.5074606
54,5.277176
55,0.18994926
56,0.9658198
57,3.2976983
58,0.61448663
59,1.4643553
60,1.4959702
61,17.731028
62,1.7216082
63,7.5015745
64,25.714294
65,1.20556
66,2.7362664
67,2.7425869
68,18.416355
69,2.319425
70,13.529908
71,2.387174
72,0.698534
73,1.5631665
74,0.50624603
75,1.4714651
76,35.165627
77,21.0235
78,5.3934145
79,0.31849974
80,18.488613
81,3.7563128
82,0.9550265
83,1.077058
84,1.5351262
85,0.029892275
86,4.4779973
87,1.2218924
88,2.53813
89,6.373829
90,4.1685176
91,1.3569964
92,12.442021
93,1.268426
94,0.21576859
95,0.99830085
96,3.4893842
97,1.1477417
98,3.1378884
99,3.513485
100,2.8633401
101,0.7683056
102,1.4387368
103,1.169034
104,1.6742858
105,0.6931879
106,4.476172
107,21.008516
108,32.00682
109,0.27034104
110,3.6069458
111,0.92699754
112,2.8344972
113,1.4239053
114,3.8129082
115,1.6567136
116,2.9333467
117,3.230527
118,15.315831
119,3.6247892
120,0.145613
121,2.794044
122,3.1109602
123,16.959759
124,6.4099402
125,1.9954203
126,1.5713849
127,2.5100954
128,1.3016901
129,3.0981748
130,1.8385556
131,9.593063
132,2.7795982
133,0.41643655
134,8.015853
135,0.19647846
136,8.753421
137,1.6391423
138,1.1533979
139,19.165655
140,1.6321856
141,1.7048082
142,30.288527
143,0.6986406
144,0.9890789
145,57.6406
146,3.9747066
147,7.530603
148,1.1566834
149,2.5945196
150,5.1116457
151,1.2695189
152,1.0239289
153,4.02998
154,10.411376
155,3.1655133
156,1.297118
157,2.2853692
158,0.7770078
159,1.4827045
160,9.817835
161,0.9016963
162,4.038043
163,0.56434345
164,8.153056
165,2.6452196
166,0.21811981
167,0.8616897
168,1.1577648
169,1.760097
170,1.6676316
171,0.78935343
172,7.638855
173,21.787912
174,1.2098042
175,1.1754844
176,1.1194289
177,1.4560301
178,3.5480602
179,10.363237
180,0.30458608
181,6.601793
182,7.784424
183,1.1832697
184,16.603668
185,2.3483067
186,3.8470032
187,8.656781
188,2.5585265
189,0.09572041
190,0.8407852
191,1.8850952
192,1.136218
193,1.4356159
194,1.6969967
195,0.83222324
196,1.8140914
197,3.4875016
198,1.9291209
199,2.2148712
200,0.599035
201,1.8771634
202,0.6811455
203,1.6703396
204,1.2951213
205,3.4619176
206,0.091527075
207,0.627945
208,1.7567179
209,1.0462826
210,2.5412567
211,3.1601653
212,1.08287
213,4.081098
214,1.7993981
215,9.258116
216,0.43488017
217,1.4677774
218,4.3831134
219,4.1770988
220,3.3982897
221,1.5805408
222,5.379554
223,6.0150304
224,1.5357617
225,1.0662036
226,0.44032902
227,0.39349037
228,2.0945094
229,5.79344
230,10.506075
231,0.62712055
232,1.3121631
233,1.9309368
234,4.211864
235,0.4267299
236,0.3094945
237,5.244767
238,15.050761
239,5.1698494
240,5.088038
241,1.0227306
242,1.5214639
243,3.294988
244,1.5400107
245,4.718413
246,2.767748
247,4.4972177
248,2.5036871
249,1.7525855
250,6.572114
251,1.4085306
252,2.633435
253,3.2451704
254,4.338026
255,7.25988
256,0.12052691
257,0.5405585
258,5.360034
259,1.8816857
260,0.39295137
261,1.0372334
262,1.7734991
263,1.9152113
264,1.0399951
265,0.23715554
266,0.3671517
267,13.777954
268,5.992666
269,0.18885519
270,0.16077207
271,1.292749
272,0.621058
273,2.480254
274,1.2286549
275,2.747932
276,4.6830354
277,1.3701476
278,1.8052058
279,8.897677
280,0.89218855
281,8.68359
282,0.926404
283,0.8172
284,2.1882882
285,2.0847008
286,1.5335472
287,25.980852
288,2.1814167
289,2.3228266
290,0.77763706
291,6.292611
292,2.2192328
293,0.95384073
294,2.647828
295,0.62144005
296,7.720168
297,7.581222
298,6.823179
299,0.896647
300,13.63621
301,1.8400097
302,0.17014216
303,2.1337216
304,3.8484795
305,2.4242554
306,1.9021086
307,4.8365846
308,0.64542866
309,0.19348532
310,2.763348
311,9.904204
312,1.4315327
313,1.1581218
314,4.622366
315,11.866683
316,0.6505018
317,1.9915544
318,1.5056149
319,13.21337
320,0.080142945
321,1.3860139
322,5.907355
323,1.9955366
324,0.45360097
325,3.3096492
326,1.3996174
327,19.488605
328,0.3656317
329,1.8040447
330,4.894323
331,0.26714098
332,5.011928
333,6.4352164
334,0.07425526
335,2.385331
336,5.3751593
337,0.75080824
338,27.421041
339,1.589568
340,6.869363
341,24.312647
342,36.09408
343,18.657207
344,0.482685
345,1.093106
346,3.547879
347,3.2252617
348,1.8907169
349,14.291458
350,0.38739556
351,0.90559787
352,1.4626641
353,0.32690746
354,1.0444385
355,1.4694338
356,1.0284939
357,0.09578979
358,1.686653
359,0.6448205
360,1.3841131
361,1.3400475
362,7.1720114
363,1.5079302
364,7.2644067
365,2.7215962
366,3.5245292
367,8.117089
368,6.1162663
369,0.98637915
370,1.8966535
371,0.74795246
372,2.4413583
373,0.14232078
374,0.44685215
375,1.2618552
376,1.6132139
377,0.40535924
378,8.022758
379,6.2804337
380,1.9414408
381,1.5294706
382,1.7787751
383,1.0147958
384,0.68275344
385,9.317888
386,31.566124
387,0.26989925
388,0.7927999
389,7.9040804
390,5.6090484
391,0.23671103
392,1.8900968
393,9.061616
394,1.8191502
395,2.234274
396,7.103384
397,0.028441193
398,4.2207384
399,18.089575
400,0.5403873
401,2.4736085
402,9.8974085
403,5.7846084
404,1.2470917
405,5.674105
406,14.074783
407,0.7441537
408,4.0352564
409,2.8252947
410,5.4366555
411,4.2335887
412,3.7324638
413,72.890366
414,4.888598
415,7.5915003
416,2.4396992
417,3.079132
418,0.98322195
419,11.417415
420,4.5463514
421,47.223858
422,1.0373352
423,4.853354
424,502.93423
425,3.1206372
426,6.915638
427,2.05262
428,7.4320974
429,3.7843497
430,2.9095235
431,5.834436
432,22.11144
433,1.7878444
434,2.9214537
435,0.94788635
436,3.6247985
437,3.2571743
438,2.697616
439,3.4422176
440,3.895741
441,1.1505256
442,3.4742322
443,9.370455
444,15.269971
445,3.5141644
446,9.4424925
447,0.38529
448,1.8149908
449,0.8773007
450,1.3195275
451,6.338518
452,0.8872294
453,1.4818096
454,1.1333371
455,0.60995996
456,0.5106215
457,74.497055
458,0.39434505
459,14.475204
460,3.617526
461,1.572713
462,3.081079
463,0.37891668
464,1.4682672
465,6.3990383
466,4.8809013
467,1.7250825
468,14.851611
469,0.4806373
470,1.6033561
471,9.060107
472,5.6913314
473,12.415913
474,10.244637
475,2.7521598
476,1.7089161
477,17.428188
478,3.2719479
479,17.100338
480,3.2484722
481,0.5709828
482,0.12892069
483,2.385737
484,1.6850117
485,2.5074747
486,0.5806562
487,0.4737715
488,7.153418
489,0.38963073
490,0.2058603
491,1.6801316
492,0.29115832
493,5.2345495
494,1.3459575
495,1.5585461
496,1.7466742
497,1.3904306
498,3.7379034
499,1.1976461
500,4.9765425
501,19.83244
502,3.098126
503,1.4881529
504,3.1460388
505,47.550514
506,48.140747
507,5.4618764
508,6.4308515
509,3.7349467
510,1.3627673
511,2.84114
512,1.2166733
513,6.325012
514,0.7657547
515,2.778236
516,0.53268343
517,0.86278653
518,1.4034065
519,0.86490184
520,1.7933865
521,16.709671
522,1.8470256
523,1.2861099
524,0.4525983
525,0.72795796
526,3.8444943
527,34.610577
528,3.1050003
529,3.350742
530,6.1446805
531,0.31940427
532,0.27830055
533,0.52842647
534,5.3997474
535,0.69110453
536,40.37786
537,9.106947
538,2.2595103
539,8.77248
540,3.4966078
541,0.6468367
542,0.44098875
543,8.896391
544,0.11968591
545,0.82804763
546,3.9249456
547,2.3106563
548,4.5766687
549,0.7163113
550,0.9912482
551,1.734725
552,20.995958
553,1.2182806
554,1.5348327
555,2.0872076
556,3.445031
557,1.7988833
558,0.14437902
559,0.38473815
560,15.734226
561,1.4571784
562,1.164307
563,4.7581573
564,3.7111015
565,0.6597671
566,2.374615
567,6.1700935
568,1.4779638
569,4.2158384
570,1.8036826
571,1.4733613
572,1.7062062
573,0.04861409
574,1.5195363
575,0.28723228
576,1.6717794
577,4.7461505
578,2.0360992
579,6.4624376
580,3.5769386
581,1.1340537
582,5.4929237
583,2.1530192
584,17.820099
585,1.6438649
586,6.5997887
587,2.141804
588,20.640108
589,14.458778
590,2.1778483
591,0.9986515
592,0.8284044
593,14.598034
594,6.490344
595,0.37531957
596,0.956842
597,2.1853964
598,27.51286
599,3.0127728
600,4.611641
601,1.7706159
602,1.9872767
603,0.57145756
604,0.8646285
605,4.340949
606,8.391283
607,3.0105016
608,3.357108
609,1.0296752
610,2.0877771
611,1.1773607
612,7.283556
613,5.3152924
614,1.7586504
615,3.0656888
616,1.4960406
617,2.218114
618,6.367006
619,2.677691
620,2.78172
621,0.96053123
622,2.3064911
623,16.782204
624,16.660927
625,3.7510188
626,2.2984278
627,10.6757145
628,0.885815
629,2.1385112
630,0.09030876
631,3.488433
632,0.58472544
633,3.9408069
634,3.117918
635,1.5642889
636,3.6543982
637,3.5775838
638,7.757637
639,2.1153762
640,4.4341593
641,3.6132176
642,1.2874469
643,3.055848
644,0.89870745
645,15.217715
646,0.6233072
647,5.848806
648,0.53350025
649,2.2552905
650,1.2336845
651,1.5046742
652,0.6675635
653,4.026322
654,7.1696596
655,4.02614
656,19.929098
657,2.7128026
658,1.6227593
659,1.8218305
660,2.4602861
661,7.220119
662,0.39025965
663,1.7076464
664,1.3511474
665,3.0181758
666,9.391264
667,3.9960968
668,9.59923
669,2.3074996
670,6.8579264
671,3.4939559
672,2.8817492
673,0.26863116
674,0.7486894
675,4.0913157
676,6.9326544
677,1.007218
678,13.930558
679,3.117145
680,4.233334
681,4.0747905
682,0.35263765
683,3.0903654
684,27.332716
685,0.736113
686,0.23847243
687,4.2390537
688,8.884513
689,4.035091
690,3.3645604
691,1.3078117
692,1.3122877
693,0.80167115
694,3.422271
695,9.712024
696,0.6054283
697,2.0373166
698,1.1692629
699,1.5086086
700,0.59794986
701,4.409378
702,14.663607
703,3.1061523
704,1.1913694
705,9.457795
706,1.892092
707,0.6445554
708,11.803789
709,4.3181796
710,21.961287
711,3.2497096
712,10.335094
713,1.8128244
714,0.20999256
715,13.8331995
716,17.55758
717,57.571846
718,4.9128394
719,2.0289278
720,2.1415188
721,1.5426066
722,0.68805736
723,1.6997902
724,14.669867
725,5.3189282
726,2.04844
727,3.5203347
728,5.2884345
729,1.207532
730,0.59172976
731,12.972962
732,18.89726
733,11.077506
734,24.425869
735,1.349914
736,1.7965515
737,10.771965
738,5.784367
739,15.866895
740,0.7118215
741,1.0583463
742,17.832277
743,4.5643263
744,1.4643471
745,22.285698
746,2.480437
747,1.5178785
748,0.5255985
749,3.396459
750,5.3413677
751,3.168587
752,2.2639093
753,0.8255682
754,1.5375067
755,0.2202279
756,1.4988625
757,0.37837714
758,5.4788547
759,0.19066876
760,0.27290985
761,3.9382265
762,4.8011847
763,38.8857
764,4.2748113
765,1.9186169
766,6.212428
767,14.961492
768,5.01065
769,2.7554038
770,4.8034043
771,0.18491879
772,4.1962314
773,1.9778969
774,0.49918586
775,0.7814092
776,8.028761
777,1.2020206
778,1.2455496
779,2.751279
780,3.708949
781,0.812409
782,6.942154
783,2.6949131
784,4.089022
785,1.8866869
786,0.4898965
787,2.606537
788,2.4673057
789,5.2244787
790,1.5278863
791,1.1850383
792,6.651609
793,1.2103426
794,1.6228275
795,2.1027536
796,3.4770803
797,0.95509577
798,2.008134
799,0.27143058
800,1.3288308
801,2.2195306
802,1.9816384
803,2.996698
804,3.6937592
805,1.6729776
806,2.5423682
807,0.2071398
808,0.14483552
809,3.969147
810,0.61770624
811,1.0866157
812,3.9199142
813,0.45247036
814,0.9111808
815,1.1465771
816,0.52855587
817,3.7980356
818,16.115019
819,2.259846
820,8.18309
821,1.6985263
822,0.74770457
823,7.300886
824,1.3696337
825,1.2007672
826,1.5490693
827,7.7574463
828,1.6101376
829,2.1028247
830,1.525766
831,0.68148303
832,2.4573598
833,3.6557176
834,4.83977
835,4.4472485
836,10.033822
837,0.60046107
838,3.5535414
839,0.3438483
840,7.706822
841,1.8930774
842,0.20579496
843,1.8779306
844,12.643023
845,0.6022514
846,12.27962
847,0.63012815
848,1.1647696
849,1.9261844
850,4.718659
851,4.3237295
852,7.0793614
853,0.7725778
854,6.204718
855,0.6420563
856,0.8263645
857,0.9962169
858,0.8023124
859,8.276228
860,13.908633
861,0.22651035
862,1.2547386
863,3.9262931
864,3.3809018
865,1.6167322
866,3.3990707
867,4.2574897
868,21.09044
869,21.897581
870,1.0198482
871,0.7156599
872,0.42154408
873,3.1838667
874,2.2862196
875,3.6154232
876,0.59522986
877,2.4630961
878,3.2154977
879,1.1943083
880,1.0792857
881,23.256742
882,24.594616
883,2.665332
884,1.5616066
885,9.7116
886,1.5035124
887,19.423563
888,3.9759736
889,6.117613
890,17.537312
891,3.9333045
892,2.3175426
893,5.7766647
894,0.39556453
895,4.627907
896,2.3376596
897,0.79746145
898,1.7160457
899,22.35532
900,1.1427993
901,12.335524
902,3.5745633
903,0.60529244
904,12.447116
905,2.5707514
906,1.2422812
907,4.81409
908,1.4312217
909,1.0594928
910,0.19968832
911,1.1512841
912,0.4514175
913,5.179202
914,5.0603104
915,0.789129
916,3.061351
917,8.519784
918,61.802086
919,1.0640488
920,17.510439
921,0.31382027
922,2.233609
923,10.46658
924,3.1012225
925,8.201317
926,1.0990967
927,4.6717505
928,1.1897548
929,14.053112
930,8.455689
931,8.097671
932,0.5345219
933,5.016549
934,0.40086833
935,8.080686
936,5.077038
937,0.8853385
938,7.135449
939,0.2874803
940,7.7739735
941,3.05814
942,1.4041803
943,24.316404
944,4.6424866
945,1.5894898
946,3.026007
947,2.679849
948,2.2682478
949,1.3749528
950,4.852635
951,4.0702243
952,4.611165
953,9.852211
954,0.94421995
955,0.28496823
956,1.7573406
957,2.799681
958,11.130507
959,1.2731733
960,3.7314775
961,3.281748
962,0.65084314
963,18.1325
964,1.3032663
965,0.6560412
966,28.238031
967,19.30869
968,1.9422392
969,4.2220836
970,18.673916
971,2.245751
972,28.428516
973,1.1570864
974,0.88889146
975,8.401617
976,2.4061837
977,3.4467864
978,2.4013357
979,23.86381
980,1.9424177
981,1.1461247
982,6.364697
983,2.4864044
984,6.5821204
985,3.5676618
986,22.447298
987,0.2994345
988,19.448584
989,0.54654384
990,2.222017
991,1.8154037
992,7.85198
993,2.2327049
994,10.143033
995,3.38119
996,0.21687193
997,10.161123
998,0.73994404
999,0.91639817
1000,5.468706
1001,0.85913754
1002,0.15412301
1003,0.1856345
1004,4.3841186
1005,0.1610629
1006,0.61785907
1007,1.6753938
1008,0.47020537
1009,14.960986
1010,6.9223332
1011,1.3050314
1012,0.79350424
1013,4.908358
1014,0.92511135
1015,0.35634452
1016,8.749003
1017,10.590159
1018,8.509034
1019,2.040351
1020,18.473295
1021,1.7226207
1022,6.8050246
1023,5.8047695
1024,3.7763653
1025,0.19086856
1026,1.708119
1027,6.2091203
1028,2.2202137
1029,0.98989743
1030,0.75701094
1031,0.8858626
1032,64.6661
1033,0.88029957
1034,1.1909604
1035,2.1965857
1036,6.6167936
1037,2.5688221
1038,1.7204899
1039,3.4825492
1040,0.27761143
1041,37.981804
1042,3.281939
1043,0.11778908
1044,3.3017166
1045,35.998363
1046,1.7025476
1047,10.887289
1048,15.804667
1049,6.171245
1050,3.5194151
1051,0.6110895
1052,0.48714313
1053,0.7044372
1054,25.685411
1055,1.7801003
1056,17.538103
1057,2.7113373
1058,7.057368
1059,1.5381473
1060,2.8286932
1061,1.1578212
1062,1.1021568
1063,2.2764041
1064,12.06482
1065,10.217064
1066,0.2640664
1067,6.452556
1068,3.3539577
1069,2.369885
1070,2.1911225
1071,0.893012
1072,0.70066434
1073,11.464773
1074,0.5918316
1075,7.938823
1076,9.675408
1077,1.2458315
1078,21.842703
1079,1.4319718
1080,0.9731527
1081,14.393255
1082,4.2066107
1083,1.2811139
1084,1.1151273
1085,1.6779085
1086,1.9889821
1087,4.6446023
1088,4.4681854
1089,2.2880406
1090,38.278946
1091,5.058169
1092,1.6236626
1093,0.5925724
1094,0.6476099
1095,5.1167297
1096,10.302343
1097,0.75025946
1098,1.603851
1099,0.95812273
1100,5.3210487
1101,0.94609535
1102,2.397733
1103,1.7443976
1104,1.0697701
1105,1.514698
1106,13.52385
1107,0.9037412
1108,1.0422071
1109,20.279646
1110,16.139082
1111,0.9002826
1112,0.49843538
1113,11.43689
1114,2.4227974
1115,2.409205
1116,5.2990513
1117,2.018474
1118,5.223837
1119,1.0075203
1120,5.016578
1121,1.2399724
1122,1.054613
1123,12.294104
1124,0.2182293
1125,0.9491678
1126,5.3566227
1127,2.4355884
1128,4.375767
1129,0.8032963
1130,7.5743213
1131,1.5840721
1132,6.4387655
1133,1.1786879
1134,0.994682
1135,5.450089
1136,3.7158813
1137,1.3116829
1138,10.684072
1139,1.3512307
1140,1.1355095
1141,2.547456
1142,0.4011611
1143,5.5390863
1144,1.3117146
1145,2.2062223
1146,9.219931
1147,7.130302
1148,5.016296
1149,6.4304695
1150,0.9381654
1151,3.7357051
1152,1.8584411
1153,5.180845
1154,3.7624748
1155,2.8455653
1156,6.3547544
1157,8.491131
1158,8.576151
1159,2.3151932
1160,4.9917736
1161,0.64414394
1162,5.254219
1163,0.20778447
1164,10.096527
1165,0.021754388
1166,1.0515101
1167,6.0228167
1168,1.7913477
1169,2.7980642
1170,1.403096
1171,1.9578596
1172,2.4009855
1173,3.2848601
1174,0.24409099
1175,4.6877103
1176,1.7711974
1177,1.8197542
1178,2.434048
1179,3.7099636
1180,10.862954
1181,3.0972865
1182,3.4173715
1183,0.24748401
1184,0.57332593
1185,18.696686
1186,2.6000092
1187,3.0338893
1188,0.49181136
1189,4.577396
1190,0.1961454
1191,5.135873
1192,3.4118404
1193,3.8697891
1194,0.5160056
1195,8.348976
1196,0.7348822
1197,3.3043213
1198,2.8625648
1199,2.8454704
1200,1.9765905
1201,21.520927
1202,0.521396
1203,7.3640003
1204,0.29162326
1205,2.8290594
1206,2.3193948
1207,0.4238276
1208,5.306916
1209,3.320507
1210,0.6838429
1211,7.5439153
1212,6.3190446
1213,2.0630598
1214,1.0157558
1215,2.0372279
1216,2.8048441
1217,0.45605087
1218,4.654392
1219,0.7031069
1220,0.9389392
1221,0.8891665
1222,1.6887039
1223,0.24351512
1224,0.9593966
1225,0.72535706
1226,3.606206
1227,0.22060008
1228,1.3775157
1229,1.8391191
1230,3.815533
1231,1.5734414
1232,2.0670078
1233,1.4205014
1234,3.2876256
1235,18.508312
1236,21.772852
1237,5.733658
1238,1.6701703
1239,1.3480374
1240,0.8734638
1241,4.5175786
1242,4.50833
1243,0.52057654
1244,0.7942743
1245,0.62873477
1246,4.6837273
1247,1.3776646
1248,10.021062
1249,0.9795906
1250,16.715305
1251,1.0842683
1252,36.102726
1253,1.3476981
1254,16.380924
1255,86.15697
1256,16.965727
1257,2.4624362
1258,5.297019
1259,1.3975224
1260,29.10849
1261,3.484812
1262,12.606627
1263,3.4734218
1264,3.2605696
1265,0.7603744
1266,17.37719
1267,1.1525484
1268,0.4026634
1269,1.8703293
1270,5.1663647
1271,4.0407395
1272,1.6131266
1273,2.8864775
1274,2.734376
1275,3.1193933
1276,3.62678
1277,2.754758
1278,4.3559103
1279,8.855856
1280,35.299343
1281,1.0573922
1282,0.75390893
1283,1.0808276
1284,4.122097
1285,1.1899399
1286,2.123653
1287,0.3640678
1288,2.87608
1289,0.71430135
1290,1.915328
1291,3.1197016
1292,31.612131
1293,5.328911
1294,0.39628688
1295,0.8504299
1296,2.5116029
1297,11.215095
1298,5.4739814
1299,0.32422698
1300,1.9289737
1301,3.2150702
1302,1.9384588
1303,1.9282753
1304,1.6744903
1305,29.976864
1306,10.424271
1307,3.001506
1308,1.4318135
1309,3.642059
1310,0.60235035
1311,0.041532133
